from	to	mean	stderr of mean	stdev	variance	median	value range	geometric mean	95% HPD interval	auto-correlation time (ACT)	effective sample size (ESS)	number of samples
Jersey	Isle_of_Man	0.8869	0.067	0.9093	0.8269	0.5915	"[6.959E-4, 8.0047]"	0.4851	"[5.947E-3, 2.8713]"	1.93E+05	184.1	3550
Leningrad_region	Isle_of_Man	0.9788	0.0761	0.977	0.9545	0.6447	"[7.0775E-4, 7.3847]"	0.5177	"[7.0775E-4, 2.8492]"	2.15E+05	164.8	3550
Luxembourg	Isle_of_Man	0.9978	0.0628	0.9353	0.8748	0.7307	"[7.383E-3, 7.7874]"	0.6173	"[7.383E-3, 2.8244]"	1.60E+05	222	3550
Netherlands	Isle_of_Man	1.0245	0.1048	0.9727	0.9461	0.69	"[5.5886E-3, 5.877]"	0.6102	"[7.6491E-3, 3.0784]"	4.12E+05	86.1	3550
Poland	Isle_of_Man	0.8687	0.0742	0.9202	0.8467	0.5301	"[1.4033E-6, 9.1334]"	0.3645	"[3.0858E-6, 2.8172]"	2.31E+05	153.7	3550
Scotland	Isle_of_Man	1.0619	0.1238	1.2007	1.4416	0.6144	"[6.9818E-4, 6.5535]"	0.5381	"[1.0689E-3, 3.3499]"	3.78E+05	94	3550
Spain	Isle_of_Man	1.0895	0.0931	1.1132	1.2392	0.8046	"[4.1537E-4, 8.9778]"	0.6139	"[1.168E-3, 3.1408]"	2.48E+05	143	3550
Wales	Isle_of_Man	1.0097	0.0735	0.9548	0.9116	0.757	"[1.3101E-3, 7.3537]"	0.5583	"[1.3101E-3, 2.8586]"	2.10E+05	168.9	3550
Jersey	Italy	0.8839	0.0803	0.9189	0.8444	0.6377	"[1.3571E-3, 5.8579]"	0.4653	"[1.3571E-3, 2.5438]"	2.71E+05	130.9	3550
Leningrad_region	Italy	1.0028	0.098	1.0553	1.1136	0.6965	"[3.3804E-4, 7.8868]"	0.5372	"[3.3804E-4, 2.7967]"	3.06E+05	115.9	3550
Luxembourg	Italy	1.0514	0.0934	1.0824	1.1715	0.7317	"[1.5289E-3, 10.8194]"	0.6143	"[1.5289E-3, 3.025]"	2.65E+05	134.2	3550
Netherlands	Italy	1.0879	0.1111	1.2442	1.548	0.6595	"[2.5483E-3, 8.2232]"	0.5476	"[5.9339E-3, 3.3338]"	2.83E+05	125.4	3550
Poland	Italy	0.9922	0.0607	0.8031	0.645	0.7667	"[0.0177, 8.1886]"	0.7032	"[0.0177, 2.5938]"	2.03E+05	175.1	3550
