from	to	mean	stderr of mean	stdev	variance	median	value range	geometric mean	95% HPD interval	auto-correlation time (ACT)	effective sample size (ESS)	number of samples
England	Italy	0.8326	0.0677	0.8538	0.729	0.547	"[9.8345E-4, 7.2162]"	0.4642	"[4.5317E-3, 2.6861]"	2.23E+05	159	3550
England	Jersey	0.9983	0.0831	1.061	1.1256	0.6842	"[7.9043E-3, 8.3505]"	0.5693	"[0.0106, 3.1578]"	2.18E+05	163	3550
England	Leningrad_region	0.9282	0.0793	0.9492	0.9009	0.6721	"[4.5937E-3, 9.5558]"	0.5152	"[0.0142, 2.7681]"	2.48E+05	143.2	3550
England	Luxembourg	0.9122	0.0681	0.8415	0.7082	0.6794	"[3.9125E-3, 5.2261]"	0.559	"[4.5766E-3, 2.524]"	2.32E+05	152.8	3550
England	Netherlands	2.08	0.0746	0.7717	0.5956	1.9599	"[0.6772, 5.3795]"	1.9437	"[0.7544, 3.616]"	3.32E+05	106.8	3550
England	Poland	1.0175	0.0833	0.9508	0.904	0.6962	"[8.3149E-3, 7.9189]"	0.6124	"[8.3149E-3, 2.9174]"	2.72E+05	130.4	3550
England	Scotland	0.6024	0.0179	0.3113	0.0969	0.5477	"[0.0787, 2.706]"	0.5288	"[0.1096, 1.1798]"	1.18E+05	301.8	3550
England	Spain	1.0256	0.0753	0.9506	0.9036	0.7756	"[8.5464E-3, 9.4273]"	0.6437	"[0.0105, 2.6706]"	2.23E+05	159.4	3550
England	Wales	0.9041	0.0209	0.3923	0.1539	0.8476	"[0.1174, 3.1982]"	0.8214	"[0.282, 1.6719]"	1.01E+05	351.6	3550
Finland	France	0.9489	0.089	0.9786	0.9576	0.6331	"[1.5249E-3, 6.5784]"	0.467	"[1.5249E-3, 2.9781]"	2.94E+05	120.8	3550
Finland	Gambia	0.9029	0.0748	0.8818	0.7776	0.6067	"[1.5041E-3, 9.36]"	0.5222	"[1.5041E-3, 2.8146]"	2.55E+05	139	3550
Finland	Germany	0.8606	0.0839	0.8633	0.7453	0.5926	"[2.3471E-3, 6.8759]"	0.4602	"[5.0965E-3, 2.5662]"	3.35E+05	105.9	3550
Finland	Isle_of_Man	0.9799	0.0794	1.0226	1.0458	0.6255	"[1.0124E-3, 7.2171]"	0.5384	"[2.9458E-3, 3.2008]"	2.14E+05	165.8	3550
Finland	Italy	1.0275	0.0937	1.0273	1.0553	0.7131	"[6.5147E-4, 7.0455]"	0.5804	"[4.8838E-3, 3.2887]"	2.96E+05	120.1	3550
Finland	Jersey	0.9828	0.0771	0.9476	0.898	0.6849	"[6.169E-3, 6.4192]"	0.5707	"[6.169E-3, 2.9425]"	2.35E+05	150.9	3550
Finland	Leningrad_region	0.9357	0.0626	0.8926	0.7967	0.6792	"[3.7122E-3, 5.7015]"	0.5537	"[6.4756E-3, 2.772]"	1.74E+05	203.6	3550
Finland	Luxembourg	0.8583	0.0993	1.0079	1.0158	0.5171	"[2.1375E-3, 8.6995]"	0.3869	"[2.1375E-3, 3.1072]"	3.44E+05	103.1	3550
Finland	Netherlands	0.9362	0.0872	0.9386	0.8809	0.6835	"[1.8872E-4, 6.3665]"	0.4602	"[3.3394E-4, 2.8741]"	3.06E+05	115.9	3550
Finland	Poland	0.9557	0.1044	1.0519	1.1065	0.6285	"[5.6336E-5, 10.0063]"	0.4786	"[1.7501E-4, 2.8309]"	3.50E+05	101.4	3550
Finland	Scotland	1.0475	0.0817	1.0469	1.096	0.7072	"[4.1158E-4, 7.6347]"	0.5715	"[4.1158E-4, 3.2587]"	2.16E+05	164.2	3550
Finland	Spain	0.9228	0.0827	0.9316	0.8679	0.6135	"[1.5668E-3, 9.411]"	0.5049	"[1.5668E-3, 2.705]"	2.80E+05	126.9	3550
Finland	Wales	0.9023	0.0655	0.9239	0.8535	0.6525	"[8.6146E-4, 9.997]"	0.4702	"[8.667E-4, 2.6644]"	1.79E+05	198.7	3550
France	Gambia	1.0772	0.0773	0.98	0.9604	0.8047	"[2.1102E-3, 7.23]"	0.6744	"[5.9018E-3, 2.9923]"	2.21E+05	160.8	3550
France	Germany	0.9846	0.1267	1.0771	1.1601	0.6091	"[1.5824E-3, 6.8965]"	0.4587	"[2.6851E-3, 3.2159]"	4.91E+05	72.3	3550
France	Isle_of_Man	1.0133	0.0806	0.9346	0.8734	0.7238	"[5.0331E-3, 6.7323]"	0.6216	"[0.012, 3.0375]"	2.64E+05	134.5	3550
France	Italy	1.0807	0.1077	1.1747	1.3799	0.7191	"[6.5265E-3, 8.1]"	0.6275	"[0.0146, 3.3874]"	2.98E+05	118.9	3550
France	Jersey	0.9082	0.0786	0.9397	0.883	0.6157	"[1.8149E-3, 9.3873]"	0.5066	"[3.7973E-3, 2.8158]"	2.48E+05	142.9	3550
France	Leningrad_region	0.9182	0.0908	0.9512	0.9047	0.6005	"[1.7419E-3, 10.2204]"	0.5231	"[1.7419E-3, 2.8031]"	3.24E+05	109.6	3550
France	Luxembourg	0.9777	0.0879	1.0178	1.0359	0.6488	"[5.0607E-4, 7.5595]"	0.4966	"[5.0607E-4, 2.7593]"	2.65E+05	133.9	3550
France	Netherlands	1.017	0.0729	1.0035	1.007	0.6717	"[8.8778E-3, 7.6412]"	0.581	"[0.0157, 2.9947]"	1.87E+05	189.4	3550
France	Poland	1.0135	0.0959	1.0019	1.0038	0.7062	"[2.5321E-3, 7.6461]"	0.585	"[2.5321E-3, 3.0775]"	3.25E+05	109.2	3550
France	Scotland	0.9535	0.0889	0.9591	0.9199	0.6375	"[2.3824E-3, 8.0276]"	0.4968	"[4.1524E-3, 2.7918]"	3.05E+05	116.5	3550
France	Spain	0.8756	0.0922	0.9297	0.8643	0.588	"[3.8897E-3, 7.6522]"	0.4543	"[7.5296E-3, 2.5837]"	3.49E+05	101.7	3550
France	Wales	0.946	0.0953	0.9755	0.9517	0.6098	"[3.8439E-3, 8.0087]"	0.5393	"[3.8439E-3, 2.7833]"	3.39E+05	104.8	3550
Gambia	Germany	0.976	0.0838	0.9671	0.9352	0.6454	"[4.2954E-3, 7.5999]"	0.5725	"[5.1381E-3, 2.9153]"	2.67E+05	133.2	3550
Gambia	Isle_of_Man	0.7113	0.0411	0.5542	0.3072	0.5686	"[6.345E-3, 6.7342]"	0.5207	"[6.345E-3, 1.771]"	1.95E+05	182.1	3550
Gambia	Italy	0.9464	0.0788	0.911	0.8298	0.7172	"[1.4543E-3, 6.6411]"	0.5525	"[1.4543E-3, 2.8335]"	2.66E+05	133.5	3550
Gambia	Jersey	0.8681	0.0608	0.8831	0.7798	0.6014	"[3.3347E-3, 6.0143]"	0.4807	"[3.3347E-3, 2.6314]"	1.68E+05	211	3550
Gambia	Leningrad_region	1.0052	0.0733	0.9345	0.8733	0.7387	"[3.0711E-3, 7.1116]"	0.6044	"[7.4868E-3, 2.8923]"	2.18E+05	162.6	3550
Gambia	Luxembourg	1.1227	0.0945	1.1115	1.2355	0.7753	"[5.5725E-3, 6.7205]"	0.654	"[7.3272E-3, 3.344]"	2.57E+05	138.3	3550
Gambia	Netherlands	1.006	0.0715	0.9046	0.8183	0.7388	"[1.8982E-3, 8.4455]"	0.6274	"[1.8982E-3, 2.6793]"	2.22E+05	159.8	3550
Gambia	Poland	1.0115	0.0934	0.9831	0.9664	0.7044	"[7.9886E-4, 7.9858]"	0.554	"[7.9886E-4, 3.0107]"	3.20E+05	110.8	3550
Gambia	Scotland	1.1594	0.1131	1.1207	1.256	0.7887	"[9.9507E-3, 7.9993]"	0.6998	"[0.0174, 3.5399]"	3.61E+05	98.2	3550
Gambia	Spain	0.9513	0.0584	0.7166	0.5135	0.7784	"[5.475E-3, 6.4321]"	0.6931	"[0.0242, 2.3679]"	2.36E+05	150.7	3550
Gambia	Wales	0.8277	0.0757	0.8653	0.7487	0.5908	"[3.4311E-3, 6.3268]"	0.4768	"[3.4311E-3, 2.894]"	2.72E+05	130.5	3550
Germany	Isle_of_Man	0.8406	0.0846	0.9163	0.8396	0.5211	"[1.782E-3, 9.9742]"	0.4441	"[1.814E-3, 2.6926]"	3.03E+05	117.2	3550
Germany	Italy	1.0458	0.1011	1.0186	1.0376	0.7278	"[3.3259E-3, 8.0958]"	0.6037	"[3.3259E-3, 3.0109]"	3.50E+05	101.4	3550
Germany	Jersey	0.9942	0.0854	0.9794	0.9592	0.7239	"[2.0673E-3, 8.409]"	0.5271	"[2.0673E-3, 2.8504]"	2.70E+05	131.6	3550
Germany	Leningrad_region	1.0324	0.0953	0.9581	0.918	0.7384	"[0.0128, 5.9394]"	0.6167	"[0.0179, 3.0729]"	3.51E+05	101	3550
Germany	Luxembourg	0.9505	0.0918	1.0037	1.0074	0.5783	"[2.548E-3, 6.8662]"	0.5163	"[0.0195, 3.1163]"	2.97E+05	119.5	3550
Germany	Netherlands	0.8646	0.0712	0.9106	0.8292	0.5809	"[1.8853E-3, 6.446]"	0.4407	"[1.8853E-3, 2.6087]"	2.17E+05	163.4	3550
Germany	Poland	0.9468	0.0681	0.8622	0.7433	0.7224	"[0.0131, 6.3414]"	0.6188	"[0.0131, 2.5951]"	2.21E+05	160.4	3550
Germany	Scotland	1.0636	0.0845	0.9672	0.9355	0.7816	"[0.0161, 8.0402]"	0.694	"[0.0509, 3.2597]"	2.71E+05	130.9	3550
Germany	Spain	0.9703	0.0712	0.9809	0.9622	0.663	"[2.8318E-4, 8.5871]"	0.5072	"[2.8318E-4, 2.8837]"	1.87E+05	189.9	3550
Germany	Wales	0.9644	0.1029	0.9982	0.9965	0.6149	"[5.7626E-4, 6.5421]"	0.4869	"[5.2118E-3, 3.203]"	3.77E+05	94.1	3550
Isle_of_Man	Italy	0.9657	0.0721	0.9353	0.8747	0.6896	"[1.8318E-3, 6.7182]"	0.5503	"[1.8318E-3, 2.9421]"	2.11E+05	168.2	3550
Isle_of_Man	Jersey	0.87	0.0795	0.9283	0.8617	0.5674	"[3.048E-3, 8.4674]"	0.441	"[3.8855E-3, 2.5982]"	2.61E+05	136.2	3550
Isle_of_Man	Leningrad_region	1.039	0.1035	1.0268	1.0542	0.6922	"[3.8216E-3, 6.0114]"	0.5547	"[3.8742E-3, 3.0881]"	3.61E+05	98.5	3550
Isle_of_Man	Luxembourg	1.0161	0.1241	1.135	1.2883	0.6429	"[4.2628E-4, 6.7869]"	0.4973	"[4.2628E-4, 3.4461]"	4.25E+05	83.6	3550
Isle_of_Man	Netherlands	0.8222	0.0914	1.132	1.2815	0.4019	"[3.7615E-4, 9.9157]"	0.2789	"[3.7615E-4, 2.7579]"	2.32E+05	153.3	3550
Isle_of_Man	Poland	0.8541	0.083	0.9122	0.8322	0.5213	"[1.2008E-3, 6.3543]"	0.4232	"[1.2569E-3, 2.8855]"	2.94E+05	120.8	3550
Isle_of_Man	Scotland	0.8727	0.0614	0.8685	0.7543	0.5976	"[6.8326E-3, 7.5391]"	0.5016	"[6.8326E-3, 2.4751]"	1.78E+05	199.9	3550
Isle_of_Man	Spain	1.0555	0.0721	0.9892	0.9785	0.7753	"[4.6118E-4, 7.9256]"	0.6015	"[4.6118E-4, 3.1021]"	1.88E+05	188.4	3550
Isle_of_Man	Wales	0.8288	0.0692	0.821	0.6741	0.5773	"[5.1021E-3, 8.5969]"	0.4773	"[5.1021E-3, 2.4167]"	2.52E+05	140.6	3550
Italy	Jersey	0.9596	0.0833	1.007	1.0141	0.656	"[4.1839E-3, 8.8055]"	0.4896	"[4.1839E-3, 2.8996]"	2.43E+05	146.2	3550
Italy	Leningrad_region	1.0551	0.1187	1.1253	1.2663	0.6827	"[4.2578E-3, 9.0294]"	0.5683	"[5.7607E-3, 3.0601]"	3.95E+05	89.8	3550
Italy	Luxembourg	1.0178	0.1144	0.9988	0.9976	0.7015	"[4.5473E-3, 7.9991]"	0.6169	"[0.0105, 3.2728]"	4.66E+05	76.2	3550
Italy	Netherlands	0.8516	0.0645	0.8806	0.7755	0.5529	"[3.8204E-3, 8.561]"	0.4616	"[3.8204E-3, 2.7604]"	1.91E+05	186.2	3550
Italy	Poland	1.0487	0.0679	0.9056	0.8201	0.8091	"[2.7926E-4, 8.3243]"	0.6477	"[2.7926E-4, 2.9364]"	2.00E+05	177.7	3550
Italy	Scotland	0.9265	0.079	0.9519	0.9061	0.6246	"[3.195E-3, 6.5859]"	0.5212	"[3.195E-3, 2.8855]"	2.45E+05	145.1	3550
Italy	Spain	1.1164	0.0898	1.0796	1.1655	0.8016	"[3.1712E-3, 7.8882]"	0.6202	"[5.4008E-3, 3.6323]"	2.45E+05	144.6	3550
Italy	Wales	0.9295	0.0889	0.9103	0.8286	0.6693	"[2.8971E-3, 7.4361]"	0.5065	"[4.0144E-3, 2.8251]"	3.38E+05	104.9	3550
Jersey	Leningrad_region	0.7768	0.0895	0.7995	0.6392	0.5358	"[3.0118E-3, 6.351]"	0.4488	"[3.0118E-3, 2.3958]"	4.45E+05	79.8	3550
Jersey	Luxembourg	0.9906	0.0979	1.0724	1.1501	0.6311	"[1.4654E-3, 8.5491]"	0.512	"[1.4654E-3, 3.1044]"	2.96E+05	120	3550
Jersey	Netherlands	0.8779	0.0754	0.9052	0.8193	0.5998	"[1.6197E-3, 7.7429]"	0.4969	"[1.6197E-3, 2.6473]"	2.46E+05	144.3	3550
Jersey	Poland	1.0412	0.0885	1.0043	1.0087	0.6908	"[0.0182, 7.44]"	0.6209	"[0.0183, 3.1551]"	2.76E+05	128.9	3550
Jersey	Scotland	1.0369	0.1215	1.0938	1.1964	0.6545	"[1.5717E-3, 7.033]"	0.5347	"[1.5717E-3, 3.0579]"	4.38E+05	81.1	3550
Jersey	Spain	1.1014	0.1525	1.0707	1.1463	0.7511	"[9.8539E-3, 7.042]"	0.6301	"[9.8539E-3, 3.2604]"	7.20E+05	49.3	3550
Jersey	Wales	1.117	0.0729	0.9736	0.9479	0.8868	"[7.6527E-3, 7.3682]"	0.7135	"[7.6527E-3, 2.9194]"	1.99E+05	178.3	3550
Leningrad_region	Luxembourg	0.8446	0.0814	1.014	1.0282	0.5144	"[7.0714E-3, 10.6552]"	0.4443	"[7.0714E-3, 2.5831]"	2.29E+05	155	3550
Leningrad_region	Netherlands	0.9182	0.0782	0.8842	0.7819	0.6511	"[6.0216E-3, 6.7471]"	0.5284	"[6.0216E-3, 2.7151]"	2.77E+05	128	3550
Leningrad_region	Poland	0.9842	0.0925	1.0082	1.0165	0.6655	"[8.2269E-3, 7.1203]"	0.5494	"[8.2269E-3, 2.8137]"	2.99E+05	118.8	3550
Leningrad_region	Scotland	0.8946	0.0894	1.0195	1.0393	0.5291	"[2.7989E-3, 8.4065]"	0.4835	"[9.2287E-3, 2.8727]"	2.73E+05	129.9	3550
Leningrad_region	Spain	1.0218	0.0998	1.1003	1.2107	0.6149	"[1.6373E-3, 7.4619]"	0.558	"[1.6373E-3, 3.3353]"	2.92E+05	121.6	3550
Leningrad_region	Wales	0.9132	0.0774	0.8987	0.8077	0.6353	"[2.7424E-3, 7.5945]"	0.5411	"[3.6634E-3, 2.808]"	2.63E+05	134.9	3550
Luxembourg	Netherlands	1.0019	0.0661	1.0059	1.0118	0.6929	"[9.4363E-3, 10.1945]"	0.6097	"[9.4363E-3, 2.9959]"	1.53E+05	231.8	3550
Luxembourg	Poland	0.9262	0.0818	0.9487	0.9	0.5903	"[1.3241E-3, 11.2082]"	0.5153	"[1.3241E-3, 2.7942]"	2.64E+05	134.5	3550
Luxembourg	Scotland	0.9988	0.1354	1.2921	1.6696	0.6089	"[6.4271E-3, 8.1183]"	0.5231	"[6.4271E-3, 3.2309]"	3.90E+05	91	3550
Luxembourg	Spain	0.9981	0.1031	1.0446	1.0912	0.5952	"[3.627E-3, 8.5192]"	0.5188	"[3.627E-3, 3.0659]"	3.46E+05	102.7	3550
Luxembourg	Wales	1.0696	0.1058	1.0331	1.0673	0.7853	"[5.9176E-3, 8.2517]"	0.6051	"[5.9176E-3, 2.9587]"	3.72E+05	95.4	3550
Netherlands	Poland	1.1176	0.0282	0.4235	0.1794	1.0684	"[0.1575, 3.2864]"	1.0391	"[0.3434, 1.9238]"	1.57E+05	226.2	3550
Netherlands	Scotland	1.2068	0.0984	1.201	1.4425	0.8281	"[5.1018E-3, 9.7314]"	0.7279	"[9.7587E-3, 3.7528]"	2.38E+05	148.9	3550
Netherlands	Spain	0.9755	0.0838	1.0073	1.0146	0.6071	"[9.9416E-3, 8.057]"	0.5682	"[9.9416E-3, 2.9908]"	2.46E+05	144.6	3550
Netherlands	Wales	1.0367	0.077	1.002	1.0039	0.7336	"[2.5979E-3, 7.6884]"	0.5837	"[2.5979E-3, 3.0734]"	2.10E+05	169.3	3550
Poland	Scotland	0.9862	0.0699	0.9485	0.8996	0.7033	"[5.4632E-3, 6.5512]"	0.5814	"[5.4632E-3, 2.8369]"	1.93E+05	184.2	3550
Poland	Spain	1.0278	0.0891	1.0372	1.0759	0.7145	"[2.8543E-4, 6.4373]"	0.5285	"[2.8543E-4, 3.2909]"	2.62E+05	135.5	3550
Poland	Wales	0.9312	0.0784	0.995	0.9899	0.6164	"[7.3312E-3, 6.9036]"	0.5108	"[0.0158, 2.8326]"	2.20E+05	161.1	3550
Scotland	Spain	1.0909	0.0738	0.9463	0.8955	0.8315	"[5.7063E-3, 9.7558]"	0.7038	"[5.7063E-3, 2.8401]"	2.16E+05	164.2	3550
Scotland	Wales	0.9103	0.0781	0.9773	0.9551	0.554	"[3.8963E-3, 8.6907]"	0.5009	"[5.3247E-3, 2.8288]"	2.27E+05	156.4	3550
Spain	Wales	0.9267	0.0715	0.9286	0.8624	0.6372	"[6.4056E-3, 6.8971]"	0.5895	"[6.4056E-3, 2.8345]"	2.10E+05	168.8	3550
Belgium	Austria	0.9565	0.0698	0.8372	0.701	0.7554	"[8.0193E-3, 6.9129]"	0.6102	"[8.0193E-3, 2.5273]"	2.47E+05	143.7	3550
Czech_Republic	Austria	2.6418	0.0493	0.8922	0.796	2.5698	"[0.4145, 7.3893]"	2.4835	"[0.8345, 4.3143]"	1.08E+05	327.6	3550
Denmark	Austria	1.0087	0.0827	1.062	1.1278	0.6884	"[5.2937E-3, 7.6119]"	0.5445	"[5.3199E-3, 2.9315]"	2.15E+05	164.9	3550
England	Austria	1.084	0.0814	1.0053	1.0107	0.8145	"[6.3785E-3, 6.5815]"	0.6606	"[6.3785E-3, 3.2578]"	2.33E+05	152.5	3550
Finland	Austria	1.0737	0.094	1.014	1.0283	0.7649	"[1.5112E-3, 5.9792]"	0.6836	"[8.3597E-3, 3.0752]"	3.05E+05	116.2	3550
France	Austria	0.9979	0.0616	0.8858	0.7847	0.7577	"[8.3776E-4, 6.8384]"	0.6044	"[8.3776E-4, 2.631]"	1.71E+05	207	3550
Gambia	Austria	1.1277	0.0848	0.9512	0.9047	0.8534	"[0.0101, 6.5238]"	0.7581	"[0.0278, 3.0202]"	2.82E+05	125.7	3550
Germany	Austria	0.9025	0.1133	0.9902	0.9804	0.5892	"[6.2838E-3, 6.9887]"	0.4927	"[6.2838E-3, 2.8189]"	4.65E+05	76.4	3550
Isle_of_Man	Austria	0.9364	0.0794	1.0111	1.0223	0.6414	"[4.2481E-3, 10.2908]"	0.5181	"[4.2481E-3, 3.1384]"	2.19E+05	162.1	3550
Italy	Austria	1.0713	0.0886	1.0312	1.0634	0.7347	"[6.2117E-3, 7.4486]"	0.6454	"[6.2117E-3, 3.1126]"	2.62E+05	135.3	3550
Jersey	Austria	0.9366	0.0591	0.8983	0.8069	0.6929	"[5.4646E-3, 8.3246]"	0.5917	"[0.0132, 2.6853]"	1.54E+05	230.8	3550
Leningrad_region	Austria	0.8977	0.101	0.9116	0.8311	0.614	"[1.3541E-3, 6.6948]"	0.4655	"[2.3043E-3, 2.8016]"	4.36E+05	81.5	3550
Luxembourg	Austria	0.9483	0.0923	1.0517	1.1062	0.5899	"[3.317E-3, 10.5859]"	0.4852	"[3.317E-3, 2.9808]"	2.73E+05	129.8	3550
Netherlands	Austria	0.8337	0.0719	0.9008	0.8115	0.5372	"[2.4074E-4, 5.622]"	0.3931	"[2.4934E-4, 2.4743]"	2.26E+05	157.1	3550
Poland	Austria	0.8606	0.0811	0.8977	0.8059	0.5867	"[2.9334E-4, 11.1537]"	0.4325	"[2.9334E-4, 2.6837]"	2.90E+05	122.6	3550
Scotland	Austria	0.9039	0.1019	0.9371	0.8782	0.6374	"[7.5485E-3, 7.2979]"	0.5112	"[9.2836E-3, 2.5923]"	4.20E+05	84.5	3550
Spain	Austria	1.0299	0.0764	0.9763	0.9531	0.7704	"[2.7802E-3, 7.8273]"	0.654	"[0.017, 3.1465]"	2.18E+05	163.2	3550
Wales	Austria	0.9871	0.0781	1.0789	1.1641	0.6052	"[5.8738E-3, 7.7937]"	0.5127	"[6.5802E-3, 3.214]"	1.86E+05	190.8	3550
Czech_Republic	Belgium	0.907	0.086	0.9515	0.9053	0.6218	"[2.2275E-3, 6.366]"	0.4941	"[4.6367E-3, 2.9666]"	2.90E+05	122.3	3550
Denmark	Belgium	0.9058	0.0836	0.8845	0.7824	0.6069	"[2.0974E-3, 6.4956]"	0.5165	"[3.3159E-3, 2.8783]"	3.17E+05	111.9	3550
England	Belgium	0.9435	0.0796	1.0013	1.0027	0.5753	"[0.0127, 6.7194]"	0.5456	"[0.0143, 3.1514]"	2.24E+05	158.3	3550
Finland	Belgium	0.8858	0.0959	0.9353	0.8748	0.5615	"[7.66E-4, 7.3985]"	0.4312	"[1.0665E-3, 2.7033]"	3.73E+05	95.1	3550
France	Belgium	0.941	0.0799	0.958	0.9177	0.6084	"[2.2152E-3, 9.2306]"	0.5259	"[5.9395E-3, 3.0037]"	2.47E+05	143.7	3550
Gambia	Belgium	0.9677	0.0827	1.002	1.004	0.6956	"[1.6063E-3, 9.0453]"	0.521	"[1.6063E-3, 2.9477]"	2.42E+05	146.8	3550
Germany	Belgium	0.9898	0.122	1.0888	1.1855	0.6313	"[3.9915E-4, 6.7584]"	0.4309	"[8.6701E-4, 3.1676]"	4.46E+05	79.6	3550
Isle_of_Man	Belgium	1.0437	0.0696	0.987	0.9742	0.716	"[7.9538E-3, 7.6473]"	0.6536	"[7.9538E-3, 3.1376]"	1.76E+05	201.2	3550
Italy	Belgium	1.046	0.0716	0.9639	0.9291	0.7614	"[4.1325E-3, 8.3814]"	0.6457	"[5.1432E-3, 2.9331]"	1.96E+05	181.3	3550
Jersey	Belgium	0.8104	0.0761	0.8938	0.7989	0.5152	"[1.9664E-3, 7.2467]"	0.4168	"[1.9664E-3, 2.7909]"	2.58E+05	137.8	3550
Leningrad_region	Belgium	0.8837	0.1074	0.9599	0.9213	0.5569	"[9.5988E-4, 8.3849]"	0.3948	"[3.6914E-3, 2.8692]"	4.44E+05	79.9	3550
Luxembourg	Belgium	0.9616	0.0959	0.973	0.9468	0.66	"[8.9548E-4, 11.0872]"	0.4721	"[8.9548E-4, 3.0712]"	3.45E+05	103	3550
Netherlands	Belgium	1.4289	0.033	0.4873	0.2374	1.3592	"[0.223, 3.6654]"	1.3491	"[0.6327, 2.4109]"	1.63E+05	217.4	3550
Poland	Belgium	1.0954	0.0873	1.0262	1.0531	0.7467	"[2.5437E-3, 7.1991]"	0.6739	"[2.5437E-3, 3.3615]"	2.57E+05	138	3550
Scotland	Belgium	0.929	0.0745	0.9692	0.9394	0.648	"[2.1569E-3, 7.168]"	0.4957	"[3.1372E-3, 2.9156]"	2.10E+05	169.4	3550
Spain	Belgium	0.9711	0.0641	0.9334	0.8713	0.7007	"[1.9846E-3, 9.0726]"	0.5642	"[1.9846E-3, 2.778]"	1.68E+05	211.8	3550
Wales	Belgium	1.0872	0.0974	1.0553	1.1137	0.757	"[5.4157E-3, 7.184]"	0.67	"[5.4157E-3, 3.0464]"	3.03E+05	117.3	3550
Denmark	Czech_Republic	1.0761	0.0923	0.9962	0.9925	0.7564	"[5.8935E-4, 5.5244]"	0.6507	"[5.8935E-4, 3.1449]"	3.05E+05	116.4	3550
England	Czech_Republic	1.1396	0.0788	1.1153	1.2439	0.7648	"[2.3172E-3, 7.067]"	0.6649	"[2.9055E-3, 3.3012]"	1.77E+05	200	3550
Finland	Czech_Republic	1.0889	0.1025	1.187	1.4091	0.764	"[2.8911E-4, 7.7037]"	0.4598	"[6.318E-4, 3.7088]"	2.65E+05	134.2	3550
France	Czech_Republic	0.8999	0.0918	0.9967	0.9933	0.5177	"[5.6969E-4, 8.3087]"	0.4286	"[5.6969E-4, 2.8787]"	3.01E+05	117.8	3550
Gambia	Czech_Republic	1.0195	0.0864	1.0025	1.0051	0.7239	"[3.7218E-3, 7.3185]"	0.6002	"[3.7218E-3, 2.9943]"	2.64E+05	134.5	3550
Germany	Czech_Republic	0.8644	0.0548	0.8304	0.6896	0.5701	"[0.0129, 7.291]"	0.5379	"[0.0129, 2.4678]"	1.55E+05	229.6	3550
Isle_of_Man	Czech_Republic	1.0577	0.1157	1.1666	1.3609	0.5961	"[9.4789E-3, 7.9331]"	0.5793	"[9.4792E-3, 3.5343]"	3.49E+05	101.6	3550
Italy	Czech_Republic	1.3891	0.0308	0.6101	0.3722	1.3296	"[0.2036, 5.3902]"	1.2538	"[0.2849, 2.5769]"	90388.6337	392.7	3550
Jersey	Czech_Republic	0.9989	0.0779	1.0187	1.0378	0.6894	"[4.6623E-4, 8.3882]"	0.5598	"[2.0343E-3, 2.9659]"	2.08E+05	170.8	3550
Leningrad_region	Czech_Republic	1.0061	0.0891	1.0091	1.0182	0.7026	"[1.0312E-3, 9.1463]"	0.528	"[1.4947E-3, 3.0558]"	2.77E+05	128.2	3550
Luxembourg	Czech_Republic	0.9315	0.075	0.9732	0.9471	0.594	"[8.706E-4, 9.1455]"	0.5224	"[4.3468E-3, 2.9714]"	2.11E+05	168.4	3550
Netherlands	Czech_Republic	0.8326	0.0752	0.9064	0.8216	0.5186	"[6.767E-3, 7.6958]"	0.4806	"[6.767E-3, 2.4756]"	2.45E+05	145.1	3550
Poland	Czech_Republic	0.9523	0.1038	1.0102	1.0205	0.658	"[1.1365E-3, 7.3661]"	0.4837	"[1.1365E-3, 3.02]"	3.75E+05	94.7	3550
Scotland	Czech_Republic	0.7599	0.0695	0.9075	0.8236	0.4607	"[5.4489E-4, 8.8885]"	0.3841	"[5.4489E-4, 2.3522]"	2.08E+05	170.5	3550
Spain	Czech_Republic	1.064	0.0943	1.0561	1.1154	0.7801	"[2.0479E-3, 8.2434]"	0.5806	"[2.0479E-3, 3.0296]"	2.83E+05	125.5	3550
Wales	Czech_Republic	0.9588	0.0927	0.9809	0.9622	0.6077	"[5.8475E-4, 7.5531]"	0.5469	"[9.7681E-4, 2.9175]"	3.17E+05	111.9	3550
England	Denmark	0.9276	0.0717	0.8933	0.7979	0.6267	"[3.6654E-3, 5.836]"	0.5481	"[3.6654E-3, 2.812]"	2.29E+05	155	3550
Finland	Denmark	1.0692	0.0703	0.959	0.9197	0.8373	"[2.1812E-3, 9.6526]"	0.651	"[2.1812E-3, 3.0967]"	1.91E+05	186.1	3550
France	Denmark	1.1208	0.0975	1.1673	1.3625	0.7494	"[3.8853E-3, 8.5069]"	0.6413	"[3.8853E-3, 3.137]"	2.48E+05	143.2	3550
Gambia	Denmark	1.0578	0.0721	0.9979	0.9958	0.7701	"[1.5011E-3, 7.0444]"	0.6154	"[3.9674E-3, 3.2011]"	1.85E+05	191.5	3550
Germany	Denmark	1.0794	0.0809	0.9838	0.9679	0.807	"[0.0173, 7.3512]"	0.7365	"[0.0204, 3.0476]"	2.40E+05	147.7	3550
Isle_of_Man	Denmark	0.9014	0.0734	0.9444	0.892	0.5835	"[8.5015E-4, 8.9197]"	0.5088	"[8.5015E-4, 2.8517]"	2.14E+05	165.7	3550
Italy	Denmark	0.99	0.0684	0.8749	0.7654	0.7745	"[1.7547E-3, 6.6779]"	0.6183	"[0.0101, 2.5723]"	2.17E+05	163.7	3550
