EPI_ISL_379793|Avian|H10N1|2015.225|Asia|,2015.225,-586.7,44.366852886406,2148,2148,48.6033519553073,42.2486033519553
EPI_ISL_379965|Avian|H10N6|2016.604|Asia|,2016.604,-584.4,44.2271880819367,2148,2148,47.6256983240223,42.5279329608939
EPI_ISL_26348|Avian|H10N4|1985|Europe|,1985,-596,44.4134078212291,2148,2148,48.3240223463687,42.4581005586592
EPI_ISL_26345|Avian|H10N4|1985|Europe|,1985,-592.4,44.4599627560521,2148,2148,48.3240223463687,42.5279329608939
EPI_ISL_181997|Avian|H10N7|2008.074|Asia|,2008.074,-575.8,44.7552447552448,2145,2148,48.5994397759104,42.837176799441
EPI_ISL_181994|Avian|H10N7|2008.074|Asia|,2008.074,-575.9,44.7392923649907,2148,2148,48.6033519553073,42.8072625698324
EPI_ISL_181995|Avian|H10N7|2008.074|Asia|,2008.074,-575.8,44.7809878844362,2146,2148,48.5314685314685,42.9070580013976
EPI_ISL_73389|Avian|H10N8|2003.393|Europe|,2003.393,-584.3,44.5996275605214,2148,2148,49.0223463687151,42.3882681564246
EPI_ISL_189470|Avian|H10N8|2003.395|Europe|,2003.395,-584.3,44.5996275605214,2148,2148,49.0223463687151,42.3882681564246
EPI_ISL_243381|Avian|H10N7|2007.222|Europe|,2007.222,-576.4,44.2737430167598,2148,2148,47.6256983240223,42.5977653631285
EPI_ISL_267362|Avian|H10N6|2006.441|Europe|,2006.441,-589.3,44.5065176908752,2148,2148,49.3016759776536,42.108938547486
EPI_ISL_267274|Avian|H10N6|2006.425|Europe|,2006.425,-589.3,44.5065176908752,2148,2148,49.3016759776536,42.108938547486
EPI_ISL_243520|Avian|H10N7|2006.036|Europe|,2006.036,-588.1,44.2271880819367,2148,2148,47.4860335195531,42.5977653631285
EPI_ISL_84566|Avian|H10N7|2006|Europe|,2006,-578.2,44.4599627560521,2148,2148,48.1843575418994,42.5977653631285
EPI_ISL_158687|Avian|H10N1|2007|Europe|,2007,-581,44.6927374301676,2148,2148,49.7206703910614,42.1787709497207
EPI_ISL_243388|Avian|H10N7|2007.23|Europe|,2007.23,-570.5,44.5530726256983,2148,2148,48.463687150838,42.5977653631285
EPI_ISL_368625|Avian|H10N4|2000.768|Asia|,2000.768,-574.5,44.2737430167598,2148,2148,48.1843575418994,42.3184357541899
EPI_ISL_138756|Avian|H10N7|2001.666|Asia|,2001.666,-580.4,44.2737430167598,2148,2148,48.1843575418994,42.3184357541899
EPI_ISL_138752|Avian|H10N7|2001.085|Asia|,2001.085,-586.5,44.4599627560521,2148,2148,48.8826815642458,42.2486033519553
EPI_ISL_138751|Avian|H10N7|2001.085|Asia|,2001.085,-587.4,44.4599627560521,2148,2148,48.7430167597765,42.3184357541899
EPI_ISL_138754|Avian|H10N7|2001.247|Asia|,2001.247,-583.5,44.366852886406,2148,2148,48.6033519553073,42.2486033519553
EPI_ISL_189345|Avian|H10N6|2002.866|Europe|,2002.866,-566.4,44.0409683426443,2148,2148,47.3463687150838,42.3882681564246
EPI_ISL_189344|Avian|H10N6|2002.866|Europe|,2002.866,-565.2,43.9944134078212,2148,2148,47.3463687150838,42.3184357541899
EPI_ISL_291115|Avian|H10N3|2006|Asia|,2006,-590.6,44.5530726256983,2148,2148,48.3240223463687,42.6675977653631
EPI_ISL_146347|Avian|H10N9|2006|Asia|,2006,-578.2,44.4599627560521,2148,2148,48.7430167597765,42.3184357541899
EPI_ISL_291119|Avian|H10N3|2006|Asia|,2006,-575,44.0875232774674,2148,2148,47.3463687150838,42.4581005586592
EPI_ISL_301008|Avian|H10N6|2005|Asia|,2005,-582.6,44.366852886406,2148,2148,48.1843575418994,42.4581005586592
EPI_ISL_301035|Avian|H10N6|2005|Asia|,2005,-577.1,44.366852886406,2148,2148,48.1843575418994,42.4581005586592
EPI_ISL_301013|Avian|H10N6|2005|Asia|,2005,-578.9,44.3202979515829,2148,2148,48.0446927374302,42.4581005586592
EPI_ISL_173405|Avian|H10N3|2005.984|Asia|,2005.984,-569.9,43.901303538175,2148,2148,46.7877094972067,42.4581005586592
EPI_ISL_173418|Avian|H10N3|2006.049|Asia|,2006.049,-572.4,43.901303538175,2148,2148,46.7877094972067,42.4581005586592
EPI_ISL_173416|Avian|H10N3|2006.027|Asia|,2006.027,-572.9,43.9478584729981,2148,2148,46.7877094972067,42.5279329608939
EPI_ISL_173414|Avian|H10N3|2006.027|Asia|,2006.027,-572.9,43.9478584729981,2148,2148,46.7877094972067,42.5279329608939
EPI_ISL_173408|Avian|H10N3|2006.027|Asia|,2006.027,-572.9,43.9478584729981,2148,2148,46.7877094972067,42.5279329608939
EPI_ISL_173412|Avian|H10N3|2006.027|Asia|,2006.027,-572.9,43.9478584729981,2148,2148,46.7877094972067,42.5279329608939
EPI_ISL_173410|Avian|H10N3|2006.027|Asia|,2006.027,-572.9,43.9478584729981,2148,2148,46.7877094972067,42.5279329608939
EPI_ISL_252871|Avian|H10N3|2010.915|Asia|,2010.915,-576.9,44.6461824953445,2148,2148,48.6033519553073,42.6675977653631
EPI_ISL_189342|Avian|H10N2|2002.863|Europe|,2002.863,-565.1,43.854748603352,2148,2148,46.5083798882682,42.5279329608939
EPI_ISL_189346|Avian|H10N2|2002.868|Europe|,2002.868,-565.1,43.854748603352,2148,2148,46.5083798882682,42.5279329608939
EPI_ISL_84565|Avian|H10N4|2006|Europe|,2006,-604.4,44.7858472998138,2148,2148,49.4413407821229,42.4581005586592
EPI_ISL_33857|Avian|H10N4|2005|Europe|,2005,-583,44.3202979515829,2148,2148,48.7430167597765,42.108938547486
EPI_ISL_189350|Avian|H10N4|2004.413|Europe|,2004.413,-583,44.3202979515829,2148,2148,48.7430167597765,42.108938547486
EPI_ISL_189348|Avian|H10N7|2002.929|Europe|,2002.929,-589.2,44.1806331471136,2148,2148,48.463687150838,42.0391061452514
EPI_ISL_73388|Avian|H10N9|2002.878|Europe|,2002.878,-583.9,44.6461824953445,2148,2148,48.6033519553073,42.6675977653631
EPI_ISL_189347|Avian|H10N9|2002.877|Europe|,2002.877,-583.9,44.6927374301676,2148,2148,48.7430167597765,42.6675977653631
EPI_ISL_189469|Avian|H10N9|2002.877|Europe|,2002.877,-583.9,44.6461824953445,2148,2148,48.6033519553073,42.6675977653631
EPI_ISL_189349|Avian|H10N7|2003.493|Europe|,2003.493,-580.3,44.2271880819367,2148,2148,47.6256983240223,42.5279329608939
EPI_ISL_135018|Avian|H10N6|2010.874|NorthAmerica|,2010.874,-557.9,43.8081936685289,2148,2148,46.2290502793296,42.5977653631285
EPI_ISL_29228|Avian|H10N7|2006|Europe|,2006,-578.7,44.366852886406,2148,2148,48.0446927374302,42.5279329608939
EPI_ISL_120192|Avian|H10N7|2004.962|Africa|,2004.962,-577.6,44.4599627560521,2148,2148,48.3240223463687,42.5279329608939
EPI_ISL_120189|Avian|H10N7|2004.962|Africa|,2004.962,-577.6,44.4599627560521,2148,2148,48.3240223463687,42.5279329608939
EPI_ISL_138759|Avian|H10N2|2005.414|Asia|,2005.414,-590.6,44.3202979515829,2148,2148,48.6033519553073,42.1787709497207
EPI_ISL_177497|Avian|H10N8|2009.937|Asia|,2009.937,-581.1,44.0409683426443,2148,2148,47.0670391061453,42.5279329608939
EPI_ISL_177495|Avian|H10N8|2009.729|Asia|,2009.729,-583.9,44.3202979515829,2148,2148,47.7653631284916,42.5977653631285
EPI_ISL_252872|Avian|H10N7|2010.915|Asia|,2010.915,-586.3,44.2737430167598,2148,2148,47.4860335195531,42.6675977653631
EPI_ISL_182002|Avian|H10N8|2009.822|Asia|,2009.822,-579.2,43.901303538175,2148,2148,46.6480446927374,42.5279329608939
EPI_ISL_146352|Avian|H10N9|2009|Asia|,2009,-599.6,44.5996275605214,2148,2148,49.0223463687151,42.3882681564246
EPI_ISL_252870|Avian|H10N8|2009.915|Asia|,2009.915,-583.8,44.1340782122905,2148,2148,47.3463687150838,42.5279329608939
EPI_ISL_146376|Avian|H10N7|2012|Asia|,2012,-561.2,43.389199255121,2148,2148,45.391061452514,42.3882681564246
EPI_ISL_177496|Avian|H10N8|2011.17|Asia|,2011.17,-574.2,44.366852886406,2148,2148,47.7653631284916,42.6675977653631
EPI_ISL_195975|Avian|H10N7|2014.162|Asia|,2014.162,-558,44.1806331471136,2148,2148,46.927374301676,42.8072625698324
EPI_ISL_171207|Avian|H10N2|2013.915|Asia|,2013.915,-576.2,44.6461824953445,2148,2148,48.3240223463687,42.8072625698324
EPI_ISL_482743|Avian|H10N3|2019.956|Asia|,2019.956,-557.3,43.854748603352,2148,2148,46.7877094972067,42.3882681564246
EPI_ISL_482741|Avian|H10N3|2019.956|Asia|,2019.956,-557.3,43.854748603352,2148,2148,46.7877094972067,42.3882681564246
EPI_ISL_3247063|Avian|H10N3|2021.003|Asia|,2021.003,-559.6,43.854748603352,2148,2148,46.7877094972067,42.3882681564246
EPI_ISL_3247072|Avian|H10N3|2021.348|Asia|,2021.348,-559.6,43.901303538175,2148,2148,46.927374301676,42.3882681564246
EPI_ISL_195974|Avian|H10N7|2014.162|Asia|,2014.162,-555.9,44.2271880819367,2148,2148,47.0670391061453,42.8072625698324
EPI_ISL_195973|Avian|H10N7|2014.162|Asia|,2014.162,-555.9,44.2271880819367,2148,2148,47.0670391061453,42.8072625698324
EPI_ISL_309177|Avian|H10N7|2009.027|Asia|,2009.027,-565.9,44.366852886406,2148,2148,47.9050279329609,42.5977653631285
EPI_ISL_309178|Avian|H10N7|2009.027|Asia|,2009.027,-564.7,44.3202979515829,2148,2148,47.9050279329609,42.5279329608939
EPI_ISL_309175|Avian|H10N7|2009.027|Asia|,2009.027,-565.2,44.3202979515829,2148,2148,47.9050279329609,42.5279329608939
EPI_ISL_309179|Avian|H10N7|2009.027|Asia|,2009.027,-565.2,44.3202979515829,2148,2148,47.9050279329609,42.5279329608939
EPI_ISL_504329|Avian|H10N4|2010.838|Asia|,2010.838,-597.8,44.7392923649907,2148,2148,49.7206703910614,42.2486033519553
EPI_ISL_238027|Avian|H10N8|2012.907|Asia|,2012.907,-610.1,44.9720670391061,2148,2148,50,42.4581005586592
EPI_ISL_504328|Avian|H10N7|2011|Asia|,2011,-584.4,44.1806331471136,2148,2148,47.6256983240223,42.4581005586592
EPI_ISL_290244|Avian|H10N8|2010.658|Asia|,2010.658,-582.5,44.3202979515829,2148,2148,47.7653631284916,42.5977653631285
EPI_ISL_298536|Avian|H10N8|2010.658|Asia|,2010.658,-582.5,44.3202979515829,2148,2148,47.7653631284916,42.5977653631285
EPI_ISL_298538|Avian|H10N8|2010.652|Asia|,2010.652,-576.9,44.366852886406,2148,2148,47.9050279329609,42.5977653631285
EPI_ISL_298534|Avian|H10N8|2010.652|Asia|,2010.652,-576.9,44.366852886406,2148,2148,47.9050279329609,42.5977653631285
EPI_ISL_142015|Avian|H10N9|2013.162|Asia|,2013.162,-575.4,44.7392923649907,2148,2148,48.7430167597765,42.7374301675978
EPI_ISL_182005|Avian|H10N7|2009.986|Asia|,2009.986,-580.1,44.1806331471136,2148,2148,47.3463687150838,42.5977653631285
EPI_ISL_182003|Avian|H10N7|2009.986|Asia|,2009.986,-580.1,44.1806331471136,2148,2148,47.3463687150838,42.5977653631285
EPI_ISL_182004|Avian|H10N7|2009.986|Asia|,2009.986,-580.1,44.1806331471136,2148,2148,47.3463687150838,42.5977653631285
EPI_ISL_182006|Avian|H10N7|2009.986|Asia|,2009.986,-580.1,44.1806331471136,2148,2148,47.3463687150838,42.5977653631285
EPI_ISL_309176|Avian|H10N9|2010.786|Asia|,2010.786,-564.2,44.366852886406,2148,2148,47.9050279329609,42.5977653631285
EPI_ISL_309180|Avian|H10N9|2010.786|Asia|,2010.786,-564.2,44.3202979515829,2148,2148,48.0446927374302,42.4581005586592
EPI_ISL_189714|Avian|H10N7|2011.948|Asia|,2011.948,-579.4,44.1806331471136,2148,2148,47.7653631284916,42.3882681564246
EPI_ISL_243574|Avian|H10N7|2011.181|Europe|,2011.181,-587.1,44.87895716946,2148,2148,49.5810055865922,42.5279329608939
EPI_ISL_328996|Avian|H10N7|2010.921|Europe|,2010.921,-589.6,45.0186219739292,2148,2148,50,42.5279329608939
EPI_ISL_243500|Avian|H10N7|2010.901|Europe|,2010.901,-588.1,45.0186219739292,2148,2148,50.1396648044693,42.4581005586592
EPI_ISL_189392|Avian|H10N4|2011.893|Europe|,2011.893,-577.8,44.5996275605214,2148,2148,49.1620111731844,42.3184357541899
EPI_ISL_502609|Avian|H10N5|2017.025|Europe|,2017.025,-562.4,44.0614811364695,2147,2148,47.2727272727273,42.4581005586592
EPI_ISL_502604|Avian|H10N5|2016.956|Europe|,2016.956,-568.2,43.901303538175,2148,2148,46.7877094972067,42.4581005586592
EPI_ISL_243504|Avian|H10N7|2014.129|Europe|,2014.129,-583.3,44.1806331471136,2148,2148,47.3463687150838,42.5977653631285
EPI_ISL_267318|Avian|H10N7|2014.129|Europe|,2014.129,-583.3,44.1806331471136,2148,2148,47.3463687150838,42.5977653631285
EPI_ISL_243393|Avian|H10N7|2015.17|Europe|,2015.17,-580.4,44.0875232774674,2148,2148,47.0670391061453,42.5977653631285
EPI_ISL_243434|Avian|H10N7|2014.956|Europe|,2014.956,-586.1,43.9478584729981,2148,2148,46.6480446927374,42.5977653631285
EPI_ISL_243453|Avian|H10N7|2013.381|Europe|,2013.381,-562.8,43.8081936685289,2148,2148,46.6480446927374,42.3882681564246
EPI_ISL_243491|Avian|H10N7|2013.592|Europe|,2013.592,-565.5,43.854748603352,2148,2148,46.5083798882682,42.5279329608939
EPI_ISL_379992|Avian|H10N7|2015.833|Europe|,2015.833,-596.3,44.366852886406,2148,2148,48.8826815642458,42.108938547486
EPI_ISL_379990|Avian|H10N7|2015.833|Europe|,2015.833,-596.3,44.366852886406,2148,2148,48.8826815642458,42.108938547486
EPI_ISL_379991|Avian|H10N7|2015.833|Europe|,2015.833,-599,44.3202979515829,2148,2148,48.8826815642458,42.0391061452514
EPI_ISL_379989|Avian|H10N7|2015.833|Europe|,2015.833,-588.5,44.3971631205674,2115,2115,48.936170212766,42.1276595744681
EPI_ISL_224753|Avian|H10N7|2015.323|Europe|,2015.323,-575.3,44.4599627560521,2148,2148,48.6033519553073,42.3882681564246
EPI_ISL_309830|Avian|H10N7|2015.321|Europe|,2015.321,-575.3,44.4599627560521,2148,2148,48.6033519553073,42.3882681564246
EPI_ISL_394155|Avian|H10N7|2017.737|Europe|,2017.737,-580.3,44.0409683426443,2148,2148,47.2067039106145,42.4581005586592
EPI_ISL_189704|Avian|H10N7|2010.321|Asia|,2010.321,-588.8,44.6927374301676,2148,2148,49.0223463687151,42.5279329608939
EPI_ISL_189685|Avian|H10N7|2010.321|Asia|,2010.321,-588.8,44.6927374301676,2148,2148,49.0223463687151,42.5279329608939
EPI_ISL_243534|Avian|H10N7|2012.036|Europe|,2012.036,-573.1,44.1806331471136,2148,2148,46.927374301676,42.8072625698324
EPI_ISL_243456|Avian|H10N7|2012.361|Europe|,2012.361,-593.6,44.8324022346369,2148,2148,49.7206703910614,42.3882681564246
EPI_ISL_309840|Avian|H10N9|2012.098|Europe|,2012.098,-589.3,44.366852886406,2148,2148,48.6033519553073,42.2486033519553
EPI_ISL_309809|Avian|H10N9|2012.098|Europe|,2012.098,-589.7,44.4599627560521,2148,2148,48.8826815642458,42.2486033519553
EPI_ISL_309825|Avian|H10N9|2012.175|Europe|,2012.175,-600,44.5996275605214,2148,2148,49.0223463687151,42.3882681564246
EPI_ISL_309826|Avian|H10N9|2012.197|Europe|,2012.197,-600.2,44.5065176908752,2148,2148,48.8826815642458,42.3184357541899
EPI_ISL_309841|Avian|H10N9|2012.175|Europe|,2012.175,-596.8,44.4599627560521,2148,2148,48.6033519553073,42.3882681564246
EPI_ISL_189387|Avian|H10N1|2009.918|Europe|,2009.918,-570.37,44.5065176908752,2148,2148,48.1843575418994,42.6675977653631
EPI_ISL_189389|Avian|H10N1|2009.921|Europe|,2009.921,-570.37,44.5065176908752,2148,2148,48.1843575418994,42.6675977653631
EPI_ISL_189375|Avian|H10N1|2009.888|Europe|,2009.888,-570.37,44.5065176908752,2148,2148,48.1843575418994,42.6675977653631
EPI_ISL_189390|Avian|H10N1|2009.921|Europe|,2009.921,-567.37,44.4599627560521,2148,2148,48.0446927374302,42.6675977653631
EPI_ISL_189386|Avian|H10N1|2009.918|Europe|,2009.918,-567.37,44.4599627560521,2148,2148,48.0446927374302,42.6675977653631
EPI_ISL_189383|Avian|H10N1|2009.915|Europe|,2009.915,-567.37,44.4599627560521,2148,2148,48.0446927374302,42.6675977653631
EPI_ISL_189384|Avian|H10N1|2009.918|Europe|,2009.918,-570.37,44.5065176908752,2148,2148,48.1843575418994,42.6675977653631
EPI_ISL_189614|Avian|H10N1|2009.879|Europe|,2009.879,-571.57,44.4134078212291,2148,2148,47.9050279329609,42.6675977653631
EPI_ISL_189374|Avian|H10N1|2009.882|Europe|,2009.882,-571.57,44.4134078212291,2148,2148,47.9050279329609,42.6675977653631
EPI_ISL_189373|Avian|H10N1|2009.877|Europe|,2009.877,-571.57,44.4134078212291,2148,2148,47.9050279329609,42.6675977653631
EPI_ISL_189379|Avian|H10N1|2009.912|Europe|,2009.912,-569.97,44.4599627560521,2148,2148,48.0446927374302,42.6675977653631
EPI_ISL_189418|Avian|H10N1|2009.91|Europe|,2009.91,-569.97,44.4599627560521,2148,2148,48.0446927374302,42.6675977653631
EPI_ISL_189377|Avian|H10N1|2009.907|Europe|,2009.907,-569.97,44.4599627560521,2148,2148,48.0446927374302,42.6675977653631
EPI_ISL_189385|Avian|H10N1|2009.918|Europe|,2009.918,-569.97,44.4599627560521,2148,2148,48.0446927374302,42.6675977653631
EPI_ISL_189380|Avian|H10N1|2009.912|Europe|,2009.912,-569.97,44.4599627560521,2148,2148,48.0446927374302,42.6675977653631
EPI_ISL_189378|Avian|H10N1|2009.91|Europe|,2009.91,-569.97,44.4599627560521,2148,2148,48.0446927374302,42.6675977653631
EPI_ISL_189381|Avian|H10N1|2009.912|Europe|,2009.912,-570.37,44.4134078212291,2148,2148,47.9050279329609,42.6675977653631
EPI_ISL_189391|Avian|H10N1|2009.923|Europe|,2009.923,-569.97,44.4599627560521,2148,2148,48.0446927374302,42.6675977653631
EPI_ISL_189382|Avian|H10N1|2009.915|Europe|,2009.915,-569.97,44.4599627560521,2148,2148,48.0446927374302,42.6675977653631
