10,1,43.9245,27.1159,44.3714,62.4486,44.3714,42.5018,19.9147,42.6743,73.9687,38.4068,46.9880,22.1031,46.2157,72.3376,38.8480,43.8082,21.8910,46.1109,61.9469,42.3847,43.4170,18.9427,40.0881,57.2687,47.1366,44.4005,21.9684,42.1793,69.4200,34.7100,50.1323,33.1126,66.2252,78.1457,50.3311,47.9710,31.9303,50.7983,65.3120,46.4441,>EPI_ISL_1211|Human|H1N1|1918|NorthAmerica|seasonal,Hu1
11,1,42.1115,14.2433,35.0148,66.4688,40.3561,43.9232,19.2034,44.0967,66.8563,40.5405,46.8541,27.4615,46.2157,78.3657,38.8480,42.7840,20.0279,43.7820,57.7550,39.5901,43.1528,20.2643,40.5286,55.9471,40.5286,43.3026,21.9684,38.6643,67.2232,33.8313,49.7354,23.8411,67.5497,79.4702,51.6556,45.9916,29.5775,46.4789,66.1972,50.7042,>EPI_ISL_170560|Human|H2N2|1957|Asia|,Hu2
12,1,44.4052,22.9817,47.7313,68.3559,38.8922,43.2125,19.9147,44.8080,65.4339,36.9844,46.3186,25.4521,48.2251,74.3470,38.1782,42.5047,21.4252,43.3163,57.7550,40.5217,42.6244,17.1806,39.2070,54.6256,42.2907,42.6877,19.7715,36.4675,65.4657,35.5888,49.3386,21.1921,67.5497,79.4702,50.3311,45.5696,29.5775,43.6620,64.7887,47.8873,>EPI_ISL_79844|Human|H3N2|1968|Asia|,Hu3
13,1,40.7538,15.9104,38.8922,61.2846,36.5351,42.0043,17.7809,36.9844,69.7013,36.9844,46.1178,24.1125,50.9042,70.9980,45.5459,44.1806,22.8225,45.6451,61.9469,45.6451,42.0079,15.4185,37.4449,61.2335,41.4097,44.6640,18.8928,43.4974,67.2232,41.3005,48.5450,26.4901,64.9007,67.5497,43.7086,45.6621,32.0122,42.6829,62.5000,50.3049,>EPI_ISL_63927|Human|H1N1|2009|NorthAmerica|pdm09,Hu4
14,1,40.4720,15.3483,41.3223,54.3093,38.3707,40.6383,16.3236,29.8084,71.6820,35.4862,45.4485,25.4521,44.2063,73.0074,40.1875,41.0615,16.7676,37.7271,52.6316,41.4532,41.8758,20.2643,36.1233,56.3877,43.6123,42.8634,19.7715,41.3005,58.8752,44.8155,48.6772,31.7881,63.5762,67.5497,55.6291,44.0580,23.2221,44.9927,56.6038,46.4441,>EPI_ISL_79864|Canine|H3N8|2005.745|NorthAmerica|,Ca1
15,1,42.5795,18.8568,46.5527,60.6953,45.9635,42.3596,17.0697,39.8293,67.5676,34.1394,47.4565,29.4709,48.2251,73.6772,37.5084,43.8082,23.2883,46.5766,62.4127,47.0424,43.0647,17.6211,35.2423,59.9119,44.4934,44.8397,25.0439,43.0580,70.2988,39.5431,51.3228,31.7881,68.8742,74.1722,58.2781,44.9275,26.1248,46.4441,60.9579,43.5414,>EPI_ISL_80505|Canine|H3N2|2006.414|Asia|,Ca2
16,1,42.4779,20.6612,41.3223,64.3447,41.9126,43.9716,26.2598,35.4862,79.4890,39.0348,47.5234,23.4427,50.9042,76.3563,41.5271,43.8082,23.2883,42.3847,59.6181,49.3712,44.8261,28.1938,40.9692,60.3524,46.2555,44.7519,21.9684,41.3005,68.1019,45.6942,50.5291,30.4636,66.2252,70.1987,58.2781,46.0870,24.6734,49.3469,56.6038,44.9927,>EPI_ISL_8092|Equine|H3N8|1963|NorthAmerica|,Eq
17,1,41.9906,17.6783,39.4814,58.9275,38.8922,41.7910,18.4922,45.5192,66.8563,36.2731,47.1218,26.7917,48.2251,73.0074,39.5177,43.5289,20.4937,43.7820,61.4811,44.2478,43.2409,21.1454,41.4097,59.9119,47.5771,44.1370,20.2109,41.7399,71.1775,33.8313,49.2063,34.4371,68.8742,67.5497,55.6291,47.6812,34.8331,50.7983,79.8258,44.9927,>EPI_ISL_69972|Swine|H1N1|1931|NorthAmerica|,Sw1
18,-1,41.8536,16.5779,42.0367,59.2066,40.2605,43.7100,17.7809,41.9630,71.8350,37.6956,47.5904,25.4521,48.8948,75.6865,36.1688,43.9013,24.2198,43.3163,61.9469,44.7136,43.3480,18.9594,39.2416,61.2875,42.3280,43.8296,21.9684,42.1793,66.7838,38.6643,50.1326,29.2943,67.9095,74.5672,46.6045,46.6667,30.4790,50.7983,62.4093,39.1872,>EPI_ISL_199469|Swine|H1N1|1979|Europe|,Sw2
19,1,41.5194,17.6783,39.4814,55.9811,41.8385,43.3547,20.6259,42.6743,75.3912,35.5619,46.9880,23.4427,47.5553,73.6772,34.8292,43.9287,23.4522,45.4972,63.7899,45.9662,43.5931,19.3833,40.0881,63.8767,42.7313,43.5661,21.0896,42.1793,65.4657,36.4675,49.7354,27.8146,66.2252,74.1722,46.3576,46.1538,32.0233,48.0349,68.4134,40.7569,>EPI_ISL_539863|Swine|H1N1|1985|Europe|,Sw2
