Groups	Time	GC
annotated	1991	43.1904
annotated	2002	42.7919
annotated	2007.581	42.5751
annotated	2013.534	42.4729
annotated	2015.762	42.3156
annotated	2014.847	42.4078
annotated	2015.838	42.229
annotated	2014	42.3731
annotated	2011	42.5965
annotated	2010	42.583
annotated	2012	42.5263
annotated	2015	42.4551
annotated	2013.54	42.4729
annotated	2009.915	42.5437
annotated	2015.011	42.3627
annotated	2007.97	42.4493
annotated	2007.934	42.4571
annotated	2007.97	42.465
annotated	2007.934	42.4571
annotated	2011.507	42.465
annotated	2013.504	42.4493
annotated	2013.504	42.4528
annotated	2011.507	42.4414
annotated	2011.507	42.4693
annotated	2011.507	42.4693
annotated	2011.507	42.4693
annotated	2011.507	42.4693
annotated	2013.504	42.4571
annotated	2013.652	42.4729
annotated	2017.233	42.4178
annotated	2013.085	42.625
annotated	2007.922	42.6066
annotated	2008.822	42.5629
annotated	2007	42.666
annotated	2007	42.5559
annotated	2008	42.6346
annotated	2008	42.5974
annotated	2007	42.666
annotated	2007	42.6346
annotated	2007	42.6346
annotated	2008	42.5401
annotated	2008	42.5952
annotated	2008	42.611
annotated	2006.414	42.4021
annotated	2003	42.7447
annotated	2002	42.7919
annotated	2003	42.7322
annotated	2003	42.736
annotated	2007.581	42.7054
annotated	2007.644	42.6896
annotated	2007	42.6881
annotated	2007.734	42.6818
annotated	2009.833	42.7211
annotated	2009.666	42.7133
annotated	2010	42.6582
annotated	2011	42.611
annotated	2012	42.6424
annotated	2012.413	42.6896
annotated	2012.183	42.6582
annotated	2012.249	42.6267
annotated	2011	42.6503
annotated	2014.803	42.5323
annotated	2014.803	42.5165
annotated	2014.803	42.5087
annotated	2014.803	42.4929
annotated	2014.803	42.5383
annotated	2014.803	42.4772
annotated	2015.348	42.5244
annotated	2019.005	42.4421
annotated	2019.058	42.3985
annotated	2019.058	42.3906
annotated	2019.115	42.4378
annotated	2019	42.3513
annotated	2018.153	42.4064
annotated	2018.14	42.3906
annotated	2018.14	42.3906
annotated	2018.151	42.4064
annotated	2018.151	42.4064
annotated	2018.151	42.4064
annotated	2018.151	42.4064
annotated	2018.151	42.4064
annotated	2018.123	42.4457
annotated	2018.123	42.4457
annotated	2018.123	42.4457
annotated	2018.123	42.4457
annotated	2018.123	42.4457
annotated	2018.123	42.4457
annotated	2011.926	42.607
annotated	2007.874	42.7211
annotated	2005	42.8077
annotated	2005	42.7605
annotated	2005	42.8178
annotated	2005.762	42.8077
annotated	2005	42.7919
annotated	2005.762	42.7683
annotated	2005.852	42.847
annotated	1994	42.9323
annotated	1997	42.8852
annotated	1998	42.9166
annotated	1998	42.9558
