1959.09	1.07629439454817
1960	1.07499452209098
1957	1.07812764412512
1957	1.07812764412512
1957	1.07472185819547
1957	1.08064055414947
1957	1.07910017712029
1960	1.07756133288868
1964	1.08458950371325
1962	1.08745812258434
1957	1.08843319211145
1964	1.08834653622716
1968	1.09017296683729
1968	1.09070232475318
1968	1.08598134123927
1963	1.08598134123927
1963	1.08598134123927
1963	1.08817121910744
1963	1.09026151070672
1963	1.08965307468601
1967	1.09156721311475
1961	1.10081001348843
1963	1.09068563175399
1966	1.08965307468601
1967	1.0870399977683
1964	1.08536585154875
1964	1.08773626035911
1965	1.08585952262089
1963	1.0830397423282
1967	1.08494557221955
1967	1.08564250206971
1967	1.08555721350403
1967	1.08625431235491
1957	1.08262640662982
1957	1.08331718753848
1957	1.08210264866159
1957	1.08271041587001
1957	1.08392296520063
1957.414	1.08331718753848
1957.863	1.08992640695297
1957	1.08435212889848
1958	1.09021593838724
1957	1.08417389158009
1959	1.08201980168514
1957	1.08435212889848
1958	1.08435212889848
1958	1.09091067530661
1958.077	1.08971067870468
1958	1.08116313700087
1957	1.0831461865144
1957	1.08157489258659
1960	1.08156102739038
1965	1.08237039677731
1957.668	1.08124442582765
1957	1.07446645791818
1958	1.07926394211829
1957.693	1.07744017234656
1957	1.07910017712029
1957	1.07780938743474
1957	1.0807224158318
1957	1.08237039677731
1957	1.08288474307643
1957.414	1.08107878532531
1957	1.0797871738733
1957.564	1.07712386709117
1957.564	1.07995191911572
1957.564	1.07728336497814
