family,GC
Anatidae,44.94973296
Anatidae,45.3688428
Anatidae,45.29813811
Anatidae,44.94187873
Anatidae,45.07816796
Anatidae,45.11744835
Anatidae,45.10404397
Anatidae,44.92890251
Anatidae,44.78315525
Anatidae,45.08602404
Anatidae,45.08602404
Anatidae,44.67750805
Anatidae,45.01021531
Anatidae,45.09388012
Anatidae,44.87390997
Anatidae,45.04674366
Anatidae,45.05122143
Anatidae,44.85819782
Anatidae,44.84248566
Anatidae,44.7639249
Anatidae,44.70893236
Anatidae,44.84248566
Anatidae,44.73250059
Anatidae,44.77963705
Anatidae,44.7639249
Anatidae,45.14101658
Anatidae,44.88151659
Anatidae,45.03888758
Anatidae,45.02317543
Anatidae,45.02317543
Anatidae,45.02317543
Anatidae,45.00746327
Anatidae,45.01531935
Anatidae,45.02317543
Anatidae,45.10959227
Anatidae,45.01531935
Anatidae,45.18815304
Anatidae,45.04674366
Anatidae,44.74035667
Anatidae,44.90847135
Anatidae,44.86298665
Anatidae,44.70962609
Anatidae,44.66984885
Anatidae,44.38158102
Anatidae,44.80320528
Anatidae,44.78749313
Anatidae,44.6459825
Anatidae,44.93163602
Anatidae,44.977582
Anatidae,44.74035667
Anatidae,44.74035667
Anatidae,44.75606882
Anatidae,45.15158711
Anatidae,45.07164912
Anatidae,44.98664152
Anatidae,44.70375609
Anatidae,44.92024829
Anatidae,44.56743602
Anatidae,44.5909876
Anatidae,44.72845995
Anatidae,44.6949393
Anatidae,44.81891743
Anatidae,44.7953492
Anatidae,44.58296469
Anatidae,44.14145383
Anatidae,44.13798523
Anatidae,44.04369008
Anatidae,44.13798523
Anatidae,44.1301273
Anatidae,44.1301273
Anatidae,44.12920465
Anatidae,44.13798523
Anatidae,45.07584878
Anatidae,44.7953492
Anatidae,44.94302554
Anatidae,45.27974783
Anatidae,45.25885773
Anatidae,44.95247074
Anatidae,45.40812318
Anatidae,45.0310315
Anatidae,44.85819782
Anatidae,44.56752298
Anatidae,44.57537906
Anatidae,44.86605389
Anatidae,44.86605389
Anatidae,44.92104643
Anatidae,44.88962212
Anatidae,44.88962212
Anatidae,44.90533428
Anatidae,44.88962212
Anatidae,44.88176605
Anatidae,44.8974782
Anatidae,44.8974782
Anatidae,44.8974782
Anatidae,44.86605389
Anatidae,44.95247074
Anatidae,44.96032681
Anatidae,44.94461466
Anatidae,45.01531935
Anatidae,44.63037159
Anatidae,44.67750805
Anatidae,44.68536413
Anatidae,44.66965198
Anatidae,44.68536413
Anatidae,44.7639249
Anatidae,44.63024023
Anatidae,44.63024023
Anatidae,44.98389504
Anatidae,44.98389504
Anatidae,44.98389504
Anatidae,44.97603897
Anatidae,45.03888758
Anatidae,44.75606882
Anatidae,44.87663052
Anatidae,45.00746327
Anatidae,45.08602404
Anatidae,44.96818289
Anatidae,44.88176605
Anatidae,44.90020431
Anatidae,44.68804023
Anatidae,44.90806223
Anatidae,45.04674366
Anatidae,44.83462959
Anatidae,44.8974782
Anatidae,44.88176605
Anatidae,45.11744835
Anatidae,44.8974782
Anatidae,45.04164702
Anatidae,44.96306774
Anatidae,45.1331605
Anatidae,44.9909356
Anatidae,44.9996072
Anatidae,44.96032681
Anatidae,44.98389504
Anatidae,44.6617959
Anatidae,44.59894729
Anatidae,44.61465944
Anatidae,44.60680336
Anatidae,44.6617959
Anatidae,44.78749313
Anatidae,44.84248566
Anatidae,45.07031189
Anatidae,45.05813953
Anatidae,44.95520981
Anatidae,44.97878359
Anatidae,44.97878359
Anatidae,44.97092566
Anatidae,44.90020431
Anatidae,44.98664152
Anatidae,44.96306774
Anatidae,44.97092566
Anatidae,44.96306774
Anatidae,44.99449945
Anatidae,44.93949395
Anatidae,44.77447745
Anatidae,44.86605389
Anatidae,44.86605389
Anatidae,44.83462959
Anatidae,44.85034174
Anatidae,44.84248566
Anatidae,44.83462959
Anatidae,44.84248566
Anatidae,44.83462959
Anatidae,44.83462959
Anatidae,44.83462959
Anatidae,44.84248566
Anatidae,44.85034174
Anatidae,44.81106136
Anatidae,44.85034174
Anatidae,44.85034174
Anatidae,44.85819782
Anatidae,44.85819782
Anatidae,44.85034174
Anatidae,44.85819782
Anatidae,44.83462959
Anatidae,44.87390997
Anatidae,44.86605389
Anatidae,44.85819782
Anatidae,44.84248566
Anatidae,44.88176605
Anatidae,44.77178097
Anatidae,44.75172847
Anatidae,45.22237938
Anatidae,44.86877259
Anatidae,44.95088409
Anatidae,45.04518664
Anatidae,44.81132075
Anatidae,44.78749313
Anatidae,44.78749313
Anatidae,44.95247074
Anatidae,44.82677351
Anatidae,45.02946955
Anatidae,45.07307874
Anatidae,45.08525183
Anatidae,44.72464451
Anatidae,44.56666929
Anatidae,44.97603897
Anatidae,44.65660852
Anatidae,44.43658652
Anatidae,44.59109121
Anatidae,45.01807324
Anatidae,44.92104643
Anatidae,44.94461466
Anatidae,44.9996072
Anatidae,44.63809075
Anatidae,45.03888758
Anatidae,44.71659601
Anatidae,45.0310315
Anatidae,44.88145706
Anatidae,44.80646934
Anatidae,44.93914409
Anatidae,44.86091466
Anatidae,44.70874549
Anatidae,44.80320528
Anatidae,44.96032681
Anatidae,44.87390997
Anatidae,44.86605389
Anatidae,45.07816796
Anatidae,45.18815304
Anatidae,45.14887265
Anatidae,45.02317543
Anatidae,45.08602404
Anatidae,45.14887265
Anatidae,45.15672873
Anatidae,45.02317543
Anatidae,44.66446645
Anatidae,44.82406535
Anatidae,44.94973296
Anatidae,44.94973296
Anatidae,44.98389504
Anatidae,45.0310315
Anatidae,45.12808424
Anatidae,45.0310315
Anatidae,44.87390997
Anatidae,44.95520981
Anatidae,44.94735188
Anatidae,45.0310315
Anatidae,45.05736288
