Group,GenomicGC,Label
AvH91,44.72813239,Av
AvH91,44.71237195,Av
AvH91,44.87785658,Av
AvH91,44.91725768,Av
AvH91,44.93301812,Av
AvH91,44.79199496,Av
AvH91,44.8857368,Av
AvH91,44.90005531,Av
AvH91,44.9237576,Av
AvH91,44.9352086,Av
AvH91,44.90795607,Av
AvH91,44.90005531,Av
AvH91,44.90795607,Av
AvH91,44.90005531,Av
AvH91,44.9237576,Av
AvH91,44.89215454,Av
AvH91,44.90795607,Av
AvH91,44.90795607,Av
AvH91,44.90795607,Av
AvH91,44.90795607,Av
AvH91,44.90795607,Av
AvH91,44.90005531,Av
AvH91,44.90795607,Av
AvH91,44.9237576,Av
AvH91,44.91585684,Av
AvH91,44.90005531,Av
AvH91,44.90795607,Av
AvH91,44.9237576,Av
AvH91,44.9237576,Av
AvH91,44.91585684,Av
AvH91,44.9474599,Av
AvH91,44.9237576,Av
AvH91,44.9474599,Av
AvH91,44.90795607,Av
AvH91,44.91585684,Av
AvH91,44.93955914,Av
AvH91,45.01066603,Av
AvH91,44.9474599,Av
AvH91,44.91585684,Av
AvH91,44.94399748,Av
AvH91,44.89361702,Av
AvH91,44.86997636,Av
AvH91,44.77270937,Av
AvH91,44.76483101,Av
AvH91,44.78411598,Av
AvH91,44.77270937,Av
AvH91,45.04164702,Av
AvH91,45.09665252,Av
AvH91,44.87663052,Av
AvH91,45.00471254,Av
AvH91,44.76744186,Av
AvH91,44.80320528,Av
AvH91,44.7953492,Av
AvH91,44.77529855,Av
AvH91,44.7639249,Av
AvH91,44.76661952,Av
AvH91,44.77529855,Av
AvH91,44.77963705,Av
AvH91,44.77178097,Av
AvH91,44.77963705,Av
AvH91,44.80320528,Av
AvH91,44.78749313,Av
AvH91,44.78749313,Av
AvH91,44.77963705,Av
AvH91,44.7639249,Av
AvH91,44.7639249,Av
AvH91,44.77963705,Av
AvH91,44.76744186,Av
AvH91,44.77881669,Av
AvH91,45.37953795,Av
AvH91,45.2352895,Av
AvH91,45.01531935,Av
AvH91,45.02317543,Av
AvH91,44.97603897,Av
AvH91,45.08325479,Av
AvH91,45.1967638,Av
AvH91,44.87663052,Av
AvH91,44.96544141,Av
AvH91,44.96544141,Av
AvH91,44.94187873,Av
AvH91,45.2403393,Av
AvH91,45.23248508,Av
AvH91,45.22463085,Av
AvH91,45.12530442,Av
AvH91,44.40254537,Av
AvH91,45.15672873,Av
AvH91,45.02042099,Av
AvH91,44.80590916,Av
AvH91,45.03612944,Av
AvH91,45.08879459,Av
AvH91,45.28242596,Av
AvH91,45.01256676,Av
AvH91,45.14101658,Av
AvH91,44.98625834,Av
AvH91,44.98625834,Av
AvH91,44.91831605,Av
AvH91,44.98389504,Av
AvH91,44.97603897,Av
AvH91,45.14887265,Av
AvH91,45.17244088,Av
AvH91,45.14957771,Av
AvH91,45.15747099,Av
AvH91,45.18904412,Av
AvH91,45.17325756,Av
AvH91,44.81106136,Av
AvH91,45.099733,Av
AvH91,45.33459001,Av
AvH91,45.08602404,Av
AvH91,45.21172127,Av
AvH91,45.13823437,Av
AvH91,45.11467169,Av
AvH91,45.04674366,Av
AvH91,45.46025762,Av
AvH91,45.06245581,Av
AvH91,44.83462959,Av
AvH91,45.14555468,Av
AvH91,45.13413579,Av
AvH91,45.25885773,Av
AvH91,45.24314557,Av
AvH91,44.81805983,Av
AvH91,45.1331605,Av
AvH91,44.94735188,Av
AvH91,44.93949395,Av
AvH91,45.18029696,Av
AvH91,45.2667138,Av
AvH91,45.17244088,Av
AvH91,45.17244088,Av
AvH91,45.18815304,Av
AvH91,45.1331605,Av
AvH91,45.14101658,Av
AvH91,45.20106817,Av
AvH91,45.16965127,Av
